,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
77,Adelie,Torgersen,0.32,0.440476,0.322034,0.277778,female,2008
239,Gentoo,Biscoe,0.410909,0.154762,0.779661,0.527778,female,2009
238,Gentoo,Biscoe,0.68,0.5,0.949153,0.805556,male,2009
190,Gentoo,Biscoe,0.447273,0.5,0.79661,0.708333,male,2008
85,Adelie,Dream,0.189091,0.559524,0.322034,0.180556,female,2008
71,Adelie,Torgersen,0.050909,0.702381,0.305085,0.25,female,2008
149,Adelie,Dream,0.141818,0.559524,0.389831,0.208333,female,2009
145,Adelie,Dream,0.189091,0.440476,0.338983,0.083333,female,2009
337,Chinstrap,Dream,0.72,0.761905,0.576271,0.347222,male,2009
133,Adelie,Dream,0.170909,0.642857,0.355932,0.222222,female,2009
169,Gentoo,Biscoe,0.36,0.047619,0.644068,0.402778,female,2007
25,Adelie,Biscoe,0.243636,0.488095,0.135593,0.305556,male,2007
100,Adelie,Dream,0.403636,0.642857,0.338983,0.388889,male,2008
35,Adelie,Dream,0.156364,0.464286,0.389831,0.173611,female,2007
157,Gentoo,Biscoe,0.563636,0.166667,0.728814,0.75,male,2007
125,Adelie,Torgersen,0.112727,0.333333,0.237288,0.097222,female,2009
278,Chinstrap,Dream,0.650909,0.761905,0.40678,0.333333,male,2007
106,Adelie,Biscoe,0.276364,0.690476,0.20339,0.236111,male,2009
286,Chinstrap,Dream,0.698182,0.809524,0.440678,0.277778,male,2007
187,Gentoo,Biscoe,0.618182,0.202381,0.813559,0.680556,female,2008
91,Adelie,Dream,0.130909,0.583333,0.508475,0.236111,female,2008
7,Adelie,Torgersen,0.247273,0.559524,0.152542,0.256944,female,2007
21,Adelie,Biscoe,0.207273,0.619048,0.033898,0.194444,female,2007
332,Chinstrap,Dream,0.730909,0.678571,0.423729,0.208333,male,2009
8,Adelie,Torgersen,0.258182,0.77381,0.389831,0.548611,male,2007
112,Adelie,Biscoe,0.490909,0.857143,0.322034,0.527778,male,2009
69,Adelie,Torgersen,0.138182,0.416667,0.305085,0.097222,female,2008
178,Gentoo,Biscoe,0.509091,0.238095,0.728814,0.666667,male,2007
319,Chinstrap,Dream,0.683636,0.714286,0.40678,0.236111,male,2008
136,Adelie,Dream,0.327273,0.52381,0.305085,0.333333,male,2009
259,Gentoo,Biscoe,0.349091,0.190476,0.644068,0.555556,female,2009
142,Adelie,Dream,0.309091,0.488095,0.254237,0.215278,male,2009
141,Adelie,Dream,0.294545,0.47619,0.355932,0.194444,female,2009
264,Gentoo,Biscoe,0.643636,0.333333,0.966102,0.902778,male,2009
255,Gentoo,Biscoe,0.549091,0.285714,0.728814,0.631944,female,2009
116,Adelie,Biscoe,0.385455,0.619048,0.40678,0.381944,male,2009
232,Gentoo,Biscoe,0.476364,0.392857,0.864407,0.902778,male,2008
211,Gentoo,Biscoe,0.403636,0.166667,0.610169,0.486111,female,2008
132,Adelie,Torgersen,0.4,0.72619,0.423729,0.222222,male,2009
312,Chinstrap,Dream,0.56,0.440476,0.457627,0.333333,female,2008
307,Chinstrap,Dream,0.32,0.416667,0.254237,0.138889,female,2008
250,Gentoo,Biscoe,0.538182,0.178571,0.847458,0.604167,female,2009
14,Adelie,Torgersen,0.236364,0.964286,0.322034,0.305556,male,2007
16,Adelie,Torgersen,0.163636,0.559524,0.220339,0.277778,female,2007
173,Gentoo,Biscoe,0.658182,0.142857,0.779661,0.833333,male,2007
122,Adelie,Torgersen,0.203636,0.797619,0.440678,0.222222,male,2009
221,Gentoo,Biscoe,0.414545,0.130952,0.813559,0.555556,female,2008
333,Chinstrap,Dream,0.476364,0.416667,0.322034,0.152778,female,2009
61,Adelie,Biscoe,0.130909,0.452381,0.220339,0.125,female,2008
164,Gentoo,Biscoe,0.614545,0.357143,0.745763,0.791667,male,2007
176,Gentoo,Biscoe,0.516364,0.321429,0.728814,0.652778,male,2007
40,Adelie,Dream,0.28,0.714286,0.20339,0.541667,male,2007
233,Gentoo,Biscoe,0.618182,0.166667,0.677966,0.534722,female,2009
118,Adelie,Torgersen,0.189091,0.880952,0.457627,0.298611,male,2009
139,Adelie,Dream,0.178182,0.404762,0.220339,0.194444,female,2009
83,Adelie,Torgersen,0.167273,0.678571,0.254237,0.305556,female,2008
315,Chinstrap,Dream,0.538182,0.416667,0.338983,0.0,female,2008
274,Gentoo,Biscoe,0.665455,0.309524,0.847458,0.847222,male,2009
309,Chinstrap,Dream,0.378182,0.428571,0.254237,0.180556,female,2008
244,Gentoo,Biscoe,0.730909,0.47619,0.949153,0.75,male,2009
96,Adelie,Dream,0.316364,0.690476,0.610169,0.444444,male,2008
127,Adelie,Torgersen,0.243636,0.535714,0.322034,0.159722,female,2009
299,Chinstrap,Dream,0.403636,0.416667,0.254237,0.055556,female,2007
154,Gentoo,Biscoe,0.650909,0.380952,0.983051,0.833333,male,2007
92,Adelie,Dream,0.327273,0.595238,0.559322,0.444444,male,2008
227,Gentoo,Biscoe,0.52,0.22619,0.745763,0.555556,female,2008
146,Adelie,Dream,0.250909,0.666667,0.220339,0.263889,male,2009
310,Chinstrap,Dream,0.687273,0.678571,0.525424,0.388889,male,2008
67,Adelie,Biscoe,0.123636,0.369048,0.389831,0.180556,female,2008
68,Adelie,Biscoe,0.327273,0.714286,0.271186,0.388889,male,2008
263,Gentoo,Biscoe,0.669091,0.25,0.745763,0.638889,female,2009
55,Adelie,Biscoe,0.087273,0.595238,0.254237,0.055556,female,2008
172,Gentoo,Biscoe,0.603636,0.238095,0.847458,0.736111,male,2007
41,Adelie,Dream,0.16,0.583333,0.169492,0.125,female,2007
308,Chinstrap,Dream,0.803636,0.916667,0.491525,0.444444,male,2008
170,Gentoo,Biscoe,0.621818,0.25,0.830508,1.0,male,2007
343,Chinstrap,Dream,0.68,0.702381,0.644068,0.388889,male,2009
303,Chinstrap,Dream,0.669091,0.630952,0.474576,0.194444,female,2008
121,Adelie,Torgersen,0.149091,0.488095,0.254237,0.125,female,2009
107,Adelie,Biscoe,0.236364,0.488095,0.457627,0.291667,female,2009
151,Adelie,Dream,0.141818,0.47619,0.254237,0.277778,female,2009
304,Chinstrap,Dream,0.632727,0.702381,0.474576,0.305556,male,2008
90,Adelie,Dream,0.247273,0.678571,0.305085,0.25,female,2008
22,Adelie,Biscoe,0.203636,0.666667,0.135593,0.25,male,2007
137,Adelie,Dream,0.127273,0.52381,0.322034,0.131944,female,2009
196,Gentoo,Biscoe,0.636364,0.22619,0.745763,0.569444,male,2008
254,Gentoo,Biscoe,0.865455,0.464286,0.949153,0.805556,male,2009
28,Adelie,Biscoe,0.305455,0.571429,0.254237,0.138889,female,2007
140,Adelie,Dream,0.276364,0.571429,0.355932,0.430556,male,2009
273,Gentoo,Biscoe,0.534545,0.142857,0.728814,0.597222,female,2009
265,Gentoo,Biscoe,0.414545,0.25,0.694915,0.541667,female,2009
243,Gentoo,Biscoe,0.56,0.22619,0.779661,0.625,female,2009
236,Gentoo,Biscoe,0.650909,0.333333,0.881356,0.736111,male,2009
217,Gentoo,Biscoe,0.498182,0.130952,0.79661,0.555556,female,2008
152,Adelie,Dream,0.341818,0.642857,0.491525,0.361111,male,2009
153,Gentoo,Biscoe,0.509091,0.011905,0.661017,0.5,female,2007
123,Adelie,Torgersen,0.294545,0.464286,0.067797,0.208333,female,2009
258,Gentoo,Biscoe,0.534545,0.357143,0.728814,0.777778,male,2009
222,Gentoo,Biscoe,0.676364,0.22619,0.864407,0.791667,male,2008
247,Gentoo,Biscoe,0.450909,0.190476,0.711864,0.597222,female,2009
130,Adelie,Torgersen,0.436364,0.583333,0.644068,0.361111,male,2009
13,Adelie,Torgersen,0.327273,0.535714,0.169492,0.138889,female,2007
6,Adelie,Torgersen,0.261818,0.892857,0.305085,0.263889,male,2007
167,Gentoo,Biscoe,0.498182,0.178571,0.644068,0.416667,female,2007
201,Gentoo,Biscoe,0.465455,0.02381,0.694915,0.666667,female,2008
45,Adelie,Dream,0.178182,0.452381,0.220339,0.083333,female,2007
110,Adelie,Biscoe,0.403636,0.702381,0.423729,0.576389,male,2009
19,Adelie,Torgersen,0.083636,0.630952,0.20339,0.173611,female,2007
216,Gentoo,Biscoe,0.807273,0.309524,1.0,0.819444,male,2008
131,Adelie,Torgersen,0.232727,0.571429,0.305085,0.173611,female,2009
31,Adelie,Dream,0.269091,0.428571,0.101695,0.152778,female,2007
241,Gentoo,Biscoe,0.56,0.107143,0.677966,0.604167,female,2009
339,Chinstrap,Dream,0.494545,0.464286,0.389831,0.263889,female,2009
321,Chinstrap,Dream,0.683636,0.571429,0.40678,0.270833,female,2009
158,Gentoo,Biscoe,0.523636,0.047619,0.644068,0.513889,female,2007
148,Adelie,Dream,0.163636,0.630952,0.20339,0.215278,female,2009
126,Adelie,Torgersen,0.309091,0.702381,0.457627,0.361111,male,2009
189,Gentoo,Biscoe,0.381818,0.071429,0.694915,0.625,female,2008
266,Gentoo,Biscoe,0.705455,0.380952,0.983051,0.777778,male,2009
188,Gentoo,Biscoe,0.592727,0.380952,0.813559,0.75,male,2008
252,Gentoo,Biscoe,0.690909,0.404762,0.898305,0.708333,male,2009
78,Adelie,Torgersen,0.185455,0.75,0.20339,0.333333,male,2008
147,Adelie,Dream,0.258182,0.654762,0.305085,0.430556,male,2009
290,Chinstrap,Dream,0.723636,0.595238,0.491525,0.375,male,2007
231,Gentoo,Biscoe,0.476364,0.083333,0.728814,0.569444,female,2008
268,Gentoo,Biscoe,0.836364,0.345238,0.983051,0.875,male,2009
200,Gentoo,Biscoe,0.669091,0.333333,0.898305,0.75,male,2008
74,Adelie,Torgersen,0.498182,0.690476,0.423729,0.402778,male,2008
59,Adelie,Biscoe,0.16,0.416667,0.152542,0.041667,female,2008
253,Gentoo,Biscoe,0.596364,0.22619,0.79661,0.597222,female,2009
316,Chinstrap,Dream,0.778182,0.809524,0.559322,0.5,male,2008
284,Chinstrap,Dream,0.698182,0.607143,0.423729,0.291667,male,2007
171,Gentoo,Biscoe,0.512727,0.166667,0.627119,0.583333,female,2007
58,Adelie,Biscoe,0.309091,0.678571,0.355932,0.305556,male,2008
275,Gentoo,Biscoe,0.476364,0.202381,0.677966,0.694444,female,2009
270,Gentoo,Biscoe,0.607273,0.369048,0.847458,0.916667,male,2009
1,Adelie,Torgersen,0.254545,0.666667,0.152542,0.291667,male,2007
198,Gentoo,Biscoe,0.418182,0.095238,0.762712,0.611111,female,2008
155,Gentoo,Biscoe,0.603636,0.119048,0.644068,0.486111,female,2007
166,Gentoo,Biscoe,0.592727,0.178571,0.694915,0.875,male,2007
228,Gentoo,Biscoe,0.6,0.345238,0.983051,0.861111,male,2008
323,Chinstrap,Dream,0.654545,0.571429,0.305085,0.194444,female,2009
295,Chinstrap,Dream,0.52,0.654762,0.305085,0.208333,female,2007
50,Adelie,Dream,0.370909,0.964286,0.322034,0.402778,male,2007
159,Gentoo,Biscoe,0.483636,0.178571,0.661017,0.583333,female,2007
248,Gentoo,Biscoe,0.68,0.309524,0.915254,0.694444,male,2009
261,Gentoo,Biscoe,0.407273,0.107143,0.610169,0.520833,female,2009
2,Adelie,Torgersen,0.269091,0.511905,0.237288,0.305556,female,2007
95,Adelie,Dream,0.149091,0.5,0.254237,0.166667,female,2008
57,Adelie,Biscoe,0.250909,0.52381,0.237288,0.236111,female,2008
209,Gentoo,Biscoe,0.425455,0.095238,0.610169,0.444444,female,2008
246,Gentoo,Biscoe,0.632727,0.357143,0.881356,0.819444,male,2009
56,Adelie,Biscoe,0.338182,0.654762,0.322034,0.277778,male,2008
186,Gentoo,Biscoe,1.0,0.464286,0.983051,0.930556,male,2007
161,Gentoo,Biscoe,0.407273,0.035714,0.627119,0.472222,female,2007
104,Adelie,Biscoe,0.207273,0.821429,0.305085,0.430556,male,2009
79,Adelie,Torgersen,0.149091,0.357143,0.254237,0.236111,female,2008
46,Adelie,Dream,0.272727,0.678571,0.305085,0.527778,male,2007
163,Gentoo,Biscoe,0.32,0.071429,0.711864,0.541667,female,2007
237,Gentoo,Biscoe,0.465455,0.083333,0.677966,0.569444,female,2009
81,Adelie,Torgersen,0.090909,0.488095,0.288136,0.138889,female,2008
294,Chinstrap,Dream,0.941818,0.559524,0.152542,0.277778,female,2007
177,Gentoo,Biscoe,0.392727,0.0,0.728814,0.638889,female,2007
262,Gentoo,Biscoe,0.581818,0.238095,0.627119,0.777778,male,2009
334,Chinstrap,Dream,0.625455,0.809524,0.525424,0.375,male,2009
129,Adelie,Torgersen,0.250909,0.47619,0.322034,0.097222,female,2009
293,Chinstrap,Dream,0.661818,0.821429,0.423729,0.166667,male,2007
183,Gentoo,Biscoe,0.552727,0.261905,0.847458,0.708333,male,2007
328,Chinstrap,Dream,0.701818,0.702381,0.491525,0.347222,male,2009
23,Adelie,Biscoe,0.138182,0.72619,0.288136,0.305556,female,2007
281,Chinstrap,Dream,0.749091,0.797619,0.423729,0.284722,male,2007
114,Adelie,Biscoe,0.367273,0.761905,0.423729,0.4375,male,2009
182,Gentoo,Biscoe,0.650909,0.261905,0.813559,0.791667,male,2007
26,Adelie,Biscoe,0.116364,0.690476,0.254237,0.305556,female,2007
119,Adelie,Torgersen,0.130909,0.464286,0.288136,0.180556,female,2009
240,Gentoo,Biscoe,0.698182,0.130952,0.779661,0.722222,male,2009
330,Chinstrap,Dream,0.676364,0.785714,0.525424,0.375,male,2009
70,Adelie,Torgersen,0.352727,0.75,0.440678,0.486111,male,2008
180,Gentoo,Biscoe,0.570909,0.22619,0.728814,0.819444,male,2007
229,Gentoo,Biscoe,0.56,0.130952,0.627119,0.527778,female,2008
87,Adelie,Dream,0.152727,0.761905,0.305085,0.305556,male,2008
184,Gentoo,Biscoe,0.389091,0.130952,0.627119,0.555556,female,2007
33,Adelie,Dream,0.269091,0.559524,0.271186,0.166667,female,2007
195,Gentoo,Biscoe,0.48,0.071429,0.644068,0.444444,female,2008
194,Gentoo,Biscoe,0.636364,0.345238,0.898305,0.833333,male,2008
64,Adelie,Biscoe,0.327273,0.607143,0.338983,0.375,male,2008
174,Gentoo,Biscoe,0.472727,0.166667,0.728814,0.638889,female,2007
86,Adelie,Dream,0.334545,0.857143,0.372881,0.236111,male,2008
65,Adelie,Biscoe,0.156364,0.47619,0.20339,0.041667,female,2008
120,Adelie,Torgersen,0.327273,0.654762,0.288136,0.173611,male,2009
208,Gentoo,Biscoe,0.469091,0.27381,0.813559,0.652778,male,2008
192,Gentoo,Biscoe,0.603636,0.309524,0.610169,0.736111,male,2008
102,Adelie,Biscoe,0.323636,0.821429,0.525424,0.5625,male,2009
15,Adelie,Torgersen,0.090909,0.952381,0.440678,0.472222,male,2007
53,Adelie,Biscoe,0.105455,0.571429,0.305085,0.208333,female,2008
29,Adelie,Biscoe,0.210909,0.654762,0.0,0.125,female,2007
143,Adelie,Dream,0.0,0.285714,0.271186,0.097222,female,2009
101,Adelie,Biscoe,0.105455,0.571429,0.338983,0.284722,female,2009
113,Adelie,Biscoe,0.276364,0.547619,0.355932,0.138889,female,2009
105,Adelie,Biscoe,0.210909,0.654762,0.355932,0.0625,female,2009
210,Gentoo,Biscoe,0.487273,0.22619,0.813559,0.638889,male,2008
213,Gentoo,Biscoe,0.48,0.083333,0.610169,0.416667,female,2008
271,Gentoo,Biscoe,0.549091,0.071429,0.711864,0.618056,female,2009
103,Adelie,Biscoe,0.203636,0.345238,0.186441,0.104167,female,2009
62,Adelie,Biscoe,0.334545,0.952381,0.389831,0.472222,male,2008
93,Adelie,Dream,0.069091,0.47619,0.220339,0.194444,female,2008
18,Adelie,Torgersen,0.378182,0.904762,0.423729,0.5,male,2007
156,Gentoo,Biscoe,0.650909,0.25,0.779661,0.833333,male,2007
300,Chinstrap,Dream,0.672727,0.75,0.355932,0.305556,male,2007
279,Chinstrap,Dream,0.698182,0.72619,0.355932,0.263889,male,2007
335,Chinstrap,Dream,0.658182,0.678571,0.508475,0.305556,male,2009
288,Chinstrap,Dream,0.712727,0.857143,0.372881,0.298611,male,2007
317,Chinstrap,Dream,0.614545,0.761905,0.644068,0.347222,male,2008
54,Adelie,Biscoe,0.36,0.761905,0.474576,0.375,male,2008
99,Adelie,Dream,0.036364,0.357143,0.101695,0.055556,female,2008
218,Gentoo,Biscoe,0.643636,0.440476,0.983051,0.833333,male,2008
242,Gentoo,Biscoe,0.727273,0.464286,0.983051,0.791667,male,2009
72,Adelie,Torgersen,0.276364,0.630952,0.305085,0.333333,male,2008
225,Gentoo,Biscoe,0.585455,0.297619,0.830508,0.666667,male,2008
66,Adelie,Biscoe,0.345455,0.583333,0.338983,0.347222,male,2008
212,Gentoo,Biscoe,0.665455,0.261905,0.881356,0.791667,male,2008
338,Chinstrap,Dream,0.534545,0.404762,0.288136,0.263889,female,2009
205,Gentoo,Biscoe,0.472727,0.154762,0.644068,0.472222,female,2008
88,Adelie,Dream,0.174545,0.654762,0.288136,0.222222,female,2008
150,Adelie,Dream,0.207273,0.595238,0.355932,0.291667,male,2009
234,Gentoo,Biscoe,0.741818,0.297619,0.830508,0.763889,male,2009
60,Adelie,Biscoe,0.2,0.714286,0.372881,0.291667,male,2008
43,Adelie,Dream,0.141818,0.642857,0.237288,0.111111,female,2007
256,Gentoo,Biscoe,0.618182,0.22619,0.949153,0.777778,male,2009
331,Chinstrap,Dream,0.378182,0.5,0.254237,0.180556,female,2009
280,Chinstrap,Dream,0.483636,0.666667,0.271186,0.229167,female,2007
82,Adelie,Torgersen,0.392727,0.535714,0.40678,0.555556,male,2008
42,Adelie,Dream,0.316364,0.630952,0.389831,0.333333,male,2007
36,Adelie,Dream,0.258182,0.952381,0.40678,0.402778,male,2007
30,Adelie,Biscoe,0.305455,0.690476,0.135593,0.347222,male,2007
37,Adelie,Dream,0.243636,0.821429,0.305085,0.347222,male,2007
305,Chinstrap,Dream,0.52,0.559524,0.322034,0.277778,female,2008
162,Gentoo,Biscoe,0.534545,0.27381,0.728814,0.680556,male,2007
44,Adelie,Dream,0.436364,0.785714,0.40678,0.472222,male,2007
324,Chinstrap,Dream,0.614545,0.77381,0.677966,0.444444,male,2009
207,Gentoo,Biscoe,0.523636,0.154762,0.762712,0.611111,female,2008
160,Gentoo,Biscoe,0.530909,0.261905,0.79661,0.694444,male,2007
296,Chinstrap,Dream,0.621818,0.607143,0.389831,0.472222,male,2007
230,Gentoo,Biscoe,0.690909,0.380952,0.813559,0.916667,male,2008
197,Gentoo,Biscoe,0.669091,0.333333,0.847458,0.791667,male,2008
39,Adelie,Dream,0.2,0.738095,0.152542,0.166667,female,2007
20,Adelie,Torgersen,0.505455,1.0,0.372881,0.416667,male,2007
298,Chinstrap,Dream,0.596364,0.52381,0.322034,0.194444,male,2007
128,Adelie,Torgersen,0.341818,0.619048,0.389831,0.444444,male,2009
185,Gentoo,Biscoe,0.472727,0.166667,0.59322,0.652778,female,2007
326,Chinstrap,Dream,0.643636,0.5,0.440678,0.270833,female,2009
289,Chinstrap,Dream,0.541818,0.5,0.220339,0.277778,female,2007
38,Adelie,Dream,0.367273,0.642857,0.135593,0.236111,female,2007
276,Gentoo,Biscoe,0.647273,0.357143,0.694915,0.75,male,2009
220,Gentoo,Biscoe,0.632727,0.369048,0.966102,0.861111,male,2008
311,Chinstrap,Dream,0.64,0.654762,0.389831,0.25,male,2008
138,Adelie,Dream,0.294545,0.833333,0.474576,0.354167,male,2009
292,Chinstrap,Dream,0.669091,0.77381,0.491525,0.375,male,2007
322,Chinstrap,Dream,0.68,0.642857,0.491525,0.486111,male,2009
34,Adelie,Dream,0.32,0.690476,0.20339,0.333333,male,2007
329,Chinstrap,Dream,0.494545,0.5,0.355932,0.25,female,2009
215,Gentoo,Biscoe,0.494545,0.095238,0.711864,0.472222,female,2008
76,Adelie,Torgersen,0.389091,0.642857,0.389831,0.430556,male,2008
175,Gentoo,Biscoe,0.523636,0.166667,0.694915,0.472222,female,2007
203,Gentoo,Biscoe,0.527273,0.130952,0.644068,0.597222,female,2008
3,Adelie,Torgersen,0.298182,0.583333,0.389831,0.152778,female,2007
165,Gentoo,Biscoe,0.487273,0.071429,0.711864,0.541667,female,2007
80,Adelie,Torgersen,0.363636,0.714286,0.389831,0.361111,male,2008
314,Chinstrap,Dream,0.723636,0.904762,0.644068,0.583333,male,2008
306,Chinstrap,Dream,0.752727,0.821429,0.559322,0.513889,male,2008
341,Chinstrap,Dream,0.414545,0.595238,0.508475,0.194444,female,2009
223,Gentoo,Biscoe,0.567273,0.22619,0.745763,0.569444,female,2008
251,Gentoo,Biscoe,0.592727,0.154762,0.525424,0.534722,female,2009
94,Adelie,Dream,0.272727,0.595238,0.237288,0.486111,male,2008
17,Adelie,Torgersen,0.24,0.702381,0.389831,0.208333,female,2007
63,Adelie,Biscoe,0.2,0.464286,0.220339,0.25,female,2008
24,Adelie,Biscoe,0.221818,0.595238,0.220339,0.347222,male,2007
291,Chinstrap,Dream,0.501818,0.47619,0.305085,0.243056,female,2007
267,Gentoo,Biscoe,0.512727,0.119048,0.762712,0.465278,female,2009
97,Adelie,Dream,0.218182,0.654762,0.305085,0.277778,female,2008
235,Gentoo,Biscoe,0.556364,0.178571,0.677966,0.5625,female,2009
89,Adelie,Dream,0.225455,0.72619,0.288136,0.347222,male,2008
327,Chinstrap,Dream,0.581818,0.392857,0.457627,0.173611,female,2009
73,Adelie,Torgersen,0.272727,0.488095,0.40678,0.236111,female,2008
191,Gentoo,Biscoe,0.432727,0.059524,0.610169,0.458333,female,2008
32,Adelie,Dream,0.185455,0.595238,0.101695,0.333333,male,2007
301,Chinstrap,Dream,0.530909,0.571429,0.389831,0.166667,female,2007
108,Adelie,Biscoe,0.221818,0.821429,0.305085,0.333333,male,2009
277,Chinstrap,Dream,0.523636,0.571429,0.338983,0.222222,female,2007
320,Chinstrap,Dream,0.487273,0.464286,0.40678,0.222222,female,2008
47,Adelie,Dream,0.327273,0.702381,0.169492,0.201389,male,2007
285,Chinstrap,Dream,0.505455,0.690476,0.389831,0.402778,female,2007
193,Gentoo,Biscoe,0.385455,0.071429,0.610169,0.347222,female,2008
111,Adelie,Biscoe,0.218182,0.404762,0.440678,0.3125,female,2009
226,Gentoo,Biscoe,0.523636,0.202381,0.762712,0.694444,female,2008
5,Adelie,Torgersen,0.167273,0.738095,0.355932,0.208333,female,2007
297,Chinstrap,Dream,0.374545,0.5,0.152542,0.25,female,2007
144,Adelie,Dream,0.312727,0.464286,0.305085,0.284722,male,2009
27,Adelie,Biscoe,0.309091,0.654762,0.186441,0.236111,male,2007
344,Chinstrap,Dream,0.658182,0.666667,0.440678,0.298611,female,2009
168,Gentoo,Biscoe,0.625455,0.309524,0.762712,0.875,male,2007
249,Gentoo,Biscoe,0.629091,0.321429,0.745763,0.618056,male,2009
336,Chinstrap,Dream,0.490909,0.75,0.372881,0.229167,female,2009
282,Chinstrap,Dream,0.476364,0.559524,0.440678,0.347222,female,2007
49,Adelie,Dream,0.141818,0.571429,0.305085,0.208333,female,2007
181,Gentoo,Biscoe,0.585455,0.142857,0.644068,0.527778,female,2007
302,Chinstrap,Dream,0.723636,0.702381,0.423729,0.402778,male,2007
340,Chinstrap,Dream,0.861818,0.797619,0.59322,0.361111,male,2009
245,Gentoo,Biscoe,0.487273,0.166667,0.677966,0.569444,female,2009
84,Adelie,Torgersen,0.109091,0.75,0.355932,0.416667,male,2008
115,Adelie,Biscoe,0.272727,0.904762,0.322034,0.333333,female,2009
206,Gentoo,Biscoe,0.654545,0.22619,0.898305,0.638889,male,2008
199,Gentoo,Biscoe,0.487273,0.095238,0.644068,0.416667,female,2008
117,Adelie,Torgersen,0.236364,0.464286,0.271186,0.055556,female,2009
313,Chinstrap,Dream,0.563636,0.619048,0.389831,0.319444,female,2008
325,Chinstrap,Dream,0.705455,0.666667,0.254237,0.152778,male,2009
224,Gentoo,Biscoe,0.52,0.297619,0.830508,0.638889,male,2008
342,Chinstrap,Dream,0.636364,0.607143,0.355932,0.298611,male,2009
260,Gentoo,Biscoe,0.774545,0.321429,0.79661,0.777778,male,2009
52,Adelie,Biscoe,0.290909,0.690476,0.271186,0.444444,male,2008
287,Chinstrap,Dream,0.527273,0.559524,0.355932,0.305556,female,2007
283,Chinstrap,Dream,0.509091,0.607143,0.101695,0.152778,female,2007
204,Gentoo,Biscoe,0.596364,0.119048,0.813559,0.722222,male,2008
135,Adelie,Dream,0.218182,0.535714,0.254237,0.201389,female,2009
51,Adelie,Biscoe,0.272727,0.547619,0.237288,0.222222,female,2008
75,Adelie,Torgersen,0.123636,0.52381,0.305085,0.277778,female,2008
134,Adelie,Dream,0.196364,0.642857,0.457627,0.493056,male,2009
124,Adelie,Torgersen,0.338182,0.642857,0.508475,0.326389,male,2009
98,Adelie,Dream,0.298182,0.642857,0.40678,0.458333,male,2008
318,Chinstrap,Dream,0.512727,0.52381,0.254237,0.263889,female,2008
109,Adelie,Biscoe,0.218182,0.464286,0.152542,0.131944,female,2009
202,Gentoo,Biscoe,0.476364,0.321429,0.728814,0.722222,male,2008
214,Gentoo,Biscoe,0.512727,0.214286,0.830508,0.722222,male,2008
